Scores will be of the following order :
  Precision  Recall  F-measure
130   0.196   0.32666666666666666   0.245
131   0.188   0.31333333333333335   0.235
132   0.2   0.3333333333333333   0.25
133   0.2   0.3333333333333333   0.25
134   0.192   0.32   0.24
135   0.2   0.3333333333333333   0.25
136   0.2   0.3333333333333333   0.25
137   0.192   0.32   0.24
138   0.184   0.30666666666666664   0.22999999999999998
139   0.16   0.26666666666666666   0.2
140   0.2   0.3333333333333333   0.25
141   0.2   0.3333333333333333   0.25
142   0.2   0.3333333333333333   0.25
143   0.192   0.32   0.24
144   0.184   0.30666666666666664   0.22999999999999998
145   0.2   0.3401360544217687   0.2518891687657431
146   0.196   0.32666666666666666   0.245
147   0.2   0.3333333333333333   0.25
148   0.176   0.29333333333333333   0.21999999999999997
149   0.2   0.1917808219178082   0.1958041958041958
150   0.2   0.3333333333333333   0.25
151   0.184   0.30666666666666664   0.22999999999999998
152   0.19583333333333333   0.31333333333333335   0.24102564102564106
153   0.2   0.1   0.13333333333333333
154   0.188   0.31333333333333335   0.235
155   0.184   0.30666666666666664   0.22999999999999998
156   0.2   0.3333333333333333   0.25
157   0.184   0.30666666666666664   0.22999999999999998
158   0.2   0.3333333333333333   0.25
159   0.2   0.3333333333333333   0.25
160   0.2   0.3333333333333333   0.25
161   0.18   0.3   0.225
162   0.2   0.3333333333333333   0.25
163   0.2   0.3333333333333333   0.25
164   0.2   0.08   0.11428571428571428
165   0.184   0.30666666666666664   0.22999999999999998
166   0.2   0.19333333333333333   0.19661016949152543
167   0.18536585365853658   0.25333333333333335   0.2140845070422535
168   0.184   0.30666666666666664   0.22999999999999998
169   0.184   0.30666666666666664   0.22999999999999998
170   0.2   0.3333333333333333   0.25
171   0.18571428571428572   0.18309859154929578   0.1843971631205674
172   0.2   0.3333333333333333   0.25
173   0.196   0.32666666666666666   0.245
174   0.196   0.32666666666666666   0.245
175   0.192   0.32   0.24
176   0.184   0.30666666666666664   0.22999999999999998
177   0.2   0.3333333333333333   0.25
178   0.2   0.3333333333333333   0.25
179   0.192   0.32   0.24
180   0.2   0.3333333333333333   0.25
181   0.188   0.31333333333333335   0.235
182   0.2   0.05982905982905983   0.09210526315789473
183   0.2   0.3333333333333333   0.25
184   0.192   0.32   0.24
185   0.2   0.3333333333333333   0.25
186   0.2   0.26   0.22608695652173913
187   0.184   0.30666666666666664   0.22999999999999998
188   0.2   0.16030534351145037   0.17796610169491525
189   0.2   0.3333333333333333   0.25
190   0.18   0.3   0.225
191   0.192   0.32   0.24
192   0.192   0.32   0.24
193   0.184   0.30666666666666664   0.22999999999999998
194   0.196   0.32666666666666666   0.245
195   0.2   0.3333333333333333   0.25
196   0.2   0.3333333333333333   0.25
197   0.2   0.32   0.24615384615384614
198   0.2   0.3333333333333333   0.25
199   0.2   0.3333333333333333   0.25
200   0.2   0.3333333333333333   0.25
201   0.18   0.3   0.225
202   0.192   0.32   0.24
203   0.2   0.3333333333333333   0.25
204   0.2   0.3333333333333333   0.25

Average values :
0.193780128311487   0.30565617054555505   0.23456449537480722
